Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1951/1/1,,53,38,0,,
1951/1/2,42,45,39,0.01,,
1951/1/3,44,52,40,0,,
1951/1/4,44,58,34,0,,
1951/1/5,49,62,40,0,,
1951/1/6,46,50,42,0.07,,
1951/1/7,41,42,39,0.08,,
1951/1/8,42,46,40,0.04,,
1951/1/9,32,42,26,0.46,,
1951/1/10,25,26,23,0.11,,
1951/1/11,26,34,19,0,,
1951/1/12,23,28,18,0,,
1951/1/13,20,28,14,0,,
1951/1/14,24,34,16,0,,
1951/1/15,29,41,23,0,,
1951/1/16,35,46,27,0,,
1951/1/17,36,47,28,0,,
1951/1/18,36,40,34,0,,
1951/1/19,36,38,35,0,,
1951/1/20,34,41,27,0,,
1951/1/21,26,34,20,0,,
1951/1/22,28,39,21,0,,
1951/1/23,30,38,23,0,,
1951/1/24,34,46,27,0,,
1951/1/25,37,50,29,0,,
1951/1/26,37,48,29,0,,
1951/1/27,39,53,31,0,,
1951/1/28,43,57,31,0,,
1951/1/29,47,63,37,0,,
1951/1/30,49,65,35,0,,
1951/1/31,48,60,34,0,,
1951/2/1,49,58,40,0,,
1951/2/2,44,54,35,0,,
1951/2/3,36,42,32,0,,
1951/2/4,31,33,27,0.37,,
1951/2/5,28,32,25,0.07,,
1951/2/6,33,45,25,0,,
1951/2/7,35,38,31,0.06,,
1951/2/8,36,38,34,0.12,,
1951/2/9,33,34,32,0.12,,
1951/2/10,33,38,31,0,,
1951/2/11,33,37,30,0,,
1951/2/12,35,38,31,0,,
1951/2/13,35,38,33,0.29,,
1951/2/14,36,41,34,0.06,,
1951/2/15,37,45,31,0,,
1951/2/16,40,48,34,0,,
1951/2/17,42,57,32,0,,
1951/2/18,45,60,37,0,,
1951/2/19,44,58,35,0,,
1951/2/20,51,65,41,0,,
1951/2/21,47,53,40,0.21,,
1951/2/22,50,62,42,0,,
1951/2/23,46,53,41,0.7,,
1951/2/24,36,41,32,0.38,,
1951/2/25,33,35,29,0.27,,
1951/2/26,39,42,33,0.43,,
1951/2/27,40,42,38,0.6,,
1951/2/28,36,40,32,0.03,,
1951/3/1,29,33,26,0,,
1951/3/2,29,38,23,0,,
1951/3/3,33,43,26,0,,
1951/3/4,39,49,32,0,,
1951/3/5,40,44,34,0.17,,
1951/3/6,41,49,37,0.02,,
1951/3/7,44,59,32,0,,
1951/3/8,50,65,40,0,,
1951/3/9,55,65,49,0,,
1951/3/10,58,71,47,0,,
1951/3/11,45,56,37,0.31,,
1951/3/12,37,42,32,0,,
1951/3/13,38,47,32,0,,
1951/3/14,43,53,39,0,,
1951/3/15,49,63,38,0,,
1951/3/16,52,63,42,0,,
1951/3/17,56,72,45,0,,
1951/3/18,50,57,41,0,,
1951/3/19,42,47,38,0,,
1951/3/20,45,53,37,0,,
1951/3/21,49,62,43,0,,
1951/3/22,47,57,40,0,,
1951/3/23,43,50,36,0,,
1951/3/24,45,49,43,0.17,,
1951/3/25,50,62,41,0.01,,
1951/3/26,56,68,48,0,,
1951/3/27,48,54,42,0.73,,
1951/3/28,50,62,42,0,,
1951/3/29,49,59,40,0,,
1951/3/30,49,59,44,0,,
1951/3/31,52,55,49,0,,
1951/4/1,49,52,46,0.27,,
1951/4/2,48,51,45,0.46,,
1951/4/3,51,60,47,0,,
1951/4/4,54,65,46,0,,
1951/4/5,51,56,47,0.24,,
1951/4/6,50,58,45,0,,
1951/4/7,56,69,47,0,,
1951/4/8,60,74,50,0,,
1951/4/9,59,69,53,0,,
1951/4/10,52,55,50,0.46,,
1951/4/11,54,64,48,0.05,,
1951/4/12,55,67,46,0,,
1951/4/13,58,68,52,0,,
1951/4/14,54,58,51,0,,
1951/4/15,54,59,50,0,,
1951/4/16,52,54,49,0.2,,
1951/4/17,51,54,47,0,,
1951/4/18,47,50,45,0.47,,
1951/4/19,49,54,45,0.05,,
1951/4/20,56,69,47,0,,
1951/4/21,59,66,55,0,,
1951/4/22,57,62,53,0,,
1951/4/23,58,69,49,0,,
1951/4/24,58,68,52,0,,
1951/4/25,55,56,54,0.12,,
1951/4/26,60,69,54,0.43,,
1951/4/27,61,65,58,0,,
1951/4/28,59,62,56,0.3,,
1951/4/29,61,67,58,0.03,,
1951/4/30,59,71,54,0.01,,
1951/5/1,59,72,54,0.08,,
1951/5/2,61,77,51,0,,
1951/5/3,67,80,58,0,,
1951/5/4,70,79,66,0,,
1951/5/5,64,71,60,0.23,,
1951/5/6,64,75,57,0,,
1951/5/7,63,66,62,0.14,,
1951/5/8,66,79,60,0,,
1951/5/9,68,82,58,0,,
1951/5/10,69,83,60,0,,
1951/5/11,71,85,62,0,,
1951/5/12,72,87,63,0,,
1951/5/13,78,93,68,0,,
1951/5/14,71,77,63,0.64,,
1951/5/15,67,78,61,0.03,,
1951/5/16,69,84,61,0,,
1951/5/17,64,72,59,0,,
1951/5/18,65,79,55,0,,
1951/5/19,66,82,55,0,,
1951/5/20,71,86,60,0,,
1951/5/21,66,81,55,0,,
1951/5/22,72,92,58,0,,
1951/5/23,79,96,69,0,,
1951/5/24,73,77,68,0.06,,
1951/5/25,75,89,66,0.05,,
1951/5/26,75,86,67,0,,
1951/5/27,71,85,63,0,,
1951/5/28,76,88,68,0,,
1951/5/29,73,76,69,1.4,,
1951/5/30,71,87,65,0.7,,
1951/5/31,71,81,67,0.2,,
1951/6/1,73,86,64,0,,
1951/6/2,79,94,71,0,,
1951/6/3,72,78,66,0.16,,
1951/6/4,70,83,62,0,,
1951/6/5,72,85,63,0,,
1951/6/6,68,73,64,0.03,,
1951/6/7,69,81,63,0,,
1951/6/8,72,82,65,0,,
1951/6/9,74,87,64,0,,
1951/6/10,76,92,66,0,,
1951/6/11,76,89,69,0,,
1951/6/12,76,89,66,0,,
1951/6/13,74,78,71,0.03,,
1951/6/14,68,72,66,0.79,,
1951/6/15,69,77,65,0.05,,
1951/6/16,71,82,62,0,,
1951/6/17,72,81,66,0,,
1951/6/18,71,78,65,0,,
1951/6/19,83,98,74,0,,
1951/6/20,88,101,79,0,,
1951/6/21,85,100,74,0.41,,
1951/6/22,71,77,67,0.25,,
1951/6/23,72,78,67,0.01,,
1951/6/24,68,70,65,1.76,,
1951/6/25,66,69,65,2.09,,
1951/6/26,69,77,63,0.05,,
1951/6/27,70,77,67,0,,
1951/6/28,72,83,64,0,,
1951/6/29,76,87,70,0,,
1951/6/30,77,88,70,0,,
1951/7/1,78,87,72,0,,
1951/7/2,79,87,72,0,,
1951/7/3,78,87,71,0,,
1951/7/4,77,85,72,0,,
1951/7/5,77,87,69,0,,
1951/7/6,76,82,74,0.15,,
1951/7/7,75,82,72,0.42,,
1951/7/8,73,81,70,0.33,,
1951/7/9,75,86,69,0,,
1951/7/10,80,91,72,0,,
1951/7/11,74,79,71,0.53,,
1951/7/12,73,78,70,0.28,,
1951/7/13,71,74,68,0.65,,
1951/7/14,71,76,69,1.69,,
1951/7/15,75,85,71,0,,
1951/7/16,74,78,70,0.03,,
1951/7/17,74,84,68,0,,
1951/7/18,74,82,71,0.25,,
1951/7/19,80,91,75,0,,
1951/7/20,77,88,74,0.77,,
1951/7/21,79,90,72,0.55,,
1951/7/22,83,96,77,0.54,,
1951/7/23,83,96,77,0,,
1951/7/24,85,95,79,0,,
1951/7/25,86,98,80,0,,
1951/7/26,86,95,80,0,,
1951/7/27,86,95,80,0,,
1951/7/28,83,92,78,0,,
1951/7/29,82,90,78,0.06,,
1951/7/30,84,93,80,0,,
1951/7/31,86,95,82,0,,
1951/8/1,85,94,80,0,,
1951/8/2,85,95,80,0,,
1951/8/3,87,98,81,0,,
1951/8/4,87,99,80,0,,
1951/8/5,86,99,80,0,,
1951/8/6,88,101,81,0,,
1951/8/7,89,101,82,0,,
1951/8/8,89,102,81,0,,
1951/8/9,86,100,76,0,,
1951/8/10,81,93,76,0.06,,
1951/8/11,84,96,79,0,,
1951/8/12,84,94,80,0,,
1951/8/13,83,92,78,0,,
1951/8/14,83,93,78,0,,
1951/8/15,84,93,79,0,,
1951/8/16,84,98,78,0,,
